tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-M001,Sydney,Hard,32,A,20180108,287,105332,,,Benoit Paire,R,196,FRA,28.67077344,42,1155,104919,,,Leonardo Mayer,R,188,ARG,30.65297741,52,909,6-2 3-6 6-1,3,R16,73,7,2,58,34,28,18,12,2,3,5,2,64,44,30,9,12,0,4
2018-M001,Sydney,Hard,32,A,20180108,286,104180,2,,Gilles Muller,L,193,LUX,34.66940452,25,1695,105357,,WC,John Millman,R,183,AUS,28.56947296,127,456,7-6(5) 6-4,3,R16,95,14,2,67,53,40,9,11,1,2,8,1,86,55,37,16,11,6,8
2018-M001,Sydney,Hard,32,A,20180108,284,103893,,,Paolo Lorenzi,R,183,ITA,36.06570842,45,1095,111442,,WC,Jordan Thompson,R,,AUS,23.72073922,99,566,7-6(5) 6-4,3,R32,114,15,4,85,58,46,9,11,4,6,6,3,67,40,27,15,11,3,6
2018-M001,Sydney,Hard,32,A,20180108,283,111577,,,Jared Donaldson,R,,USA,21.24845996,55,878,104468,,SE,Gilles Simon,R,183,FRA,33.03216975,57,860,6-1 6-4,3,R32,67,3,5,45,27,20,10,8,2,3,2,3,58,32,20,8,9,9,14
2018-M001,Sydney,Hard,32,A,20180108,282,106421,,Q,Daniil Medvedev,R,,RUS,21.908282,84,642,104259,6,,Philipp Kohlschreiber,R,178,GER,34.23134839,29,1440,6-2 6-3,3,R32,69,8,1,55,36,33,8,9,3,3,1,1,56,33,17,13,8,2,5
2018-M001,Sydney,Hard,32,A,20180108,280,105238,,,Alexandr Dolgopolov,R,180,UKR,29.16906229,37,1276,104678,,,Viktor Troicki,R,193,SRB,31.90965092,54,880,6-3 6-7(6) 7-5,3,R32,140,13,9,121,58,44,30,17,9,13,13,7,95,53,38,16,16,3,9
2018-M001,Sydney,Hard,32,A,20180108,279,105575,,LL,Ricardas Berankis,R,175,LTU,27.55099247,138,407,106109,,WC,Alex Bolt,L,,AUS,25.00752909,189,274,5-7 7-5 6-4,3,R32,117,7,7,91,48,40,27,17,4,6,21,1,95,51,43,23,17,6,9
2018-M001,Sydney,Hard,32,A,20180108,278,105173,5,,Adrian Mannarino,L,183,FRA,29.52772074,28,1625,105539,,Q,Evgeny Donskoy,R,185,RUS,27.66872005,71,704,5-7 7-5 6-4,3,R32,140,8,7,94,53,42,26,17,1,3,11,2,101,60,45,19,17,4,7
2018-M001,Sydney,Hard,32,A,20180108,277,106000,7,,Damir Dzumhur,R,172,BIH,25.63723477,30,1391,105526,,,Jan Lennard Struff,R,,GER,27.70704997,53,898,6-1 6-4,3,R32,60,7,3,51,29,26,11,9,2,3,7,3,54,32,22,5,8,6,10
2018-M001,Sydney,Hard,32,A,20180108,276,200282,,SE,Alex De Minaur,R,,AUS,18.89117043,167,323,104269,,,Fernando Verdasco,L,188,ESP,34.14921287,40,1225,6-4 6-2,3,R32,76,3,3,59,38,29,10,9,6,7,3,4,45,27,16,9,9,2,6
2018-M001,Sydney,Hard,32,A,20180108,275,103852,,,Feliciano Lopez,L,188,ESP,36.30116359,36,1295,126846,,Q,Aleksandar Vukic,R,,AUS,21.75770021,462,77,4-6 7-6(5) 6-3,3,R32,124,10,4,93,60,49,18,15,4,5,23,3,104,61,47,24,16,5,7
2018-M001,Sydney,Hard,32,A,20180108,273,104919,,,Leonardo Mayer,R,188,ARG,30.65297741,52,909,104999,8,,Mischa Zverev,L,190,GER,30.38193018,34,1302,7-5 6-3,3,R32,104,5,3,67,42,32,10,11,1,4,3,3,70,38,21,13,10,3,8
2018-M001,Sydney,Hard,32,A,20180108,272,105332,,,Benoit Paire,R,196,FRA,28.67077344,42,1155,105379,,,Aljaz Bedene,R,181,SLO,28.47638604,51,968,1-6 7-6(5) 6-3,3,R32,104,12,5,93,53,46,14,13,7,10,11,0,87,59,46,14,15,4,7
2018-M001,Sydney,Hard,32,A,20180108,271,105357,,WC,John Millman,R,183,AUS,28.56947296,127,456,200615,,Q,Alexei Popyrin,U,,AUS,18.42847365,621,43,7-6(4) 6-0,3,R32,80,5,0,49,25,22,15,9,0,1,5,6,65,34,22,11,9,5,9
